samplename,IP_group,group,batch,replicate,phenotype

2020-10-27-CUTRUN-KT-MB231-04-EV-H3K27me3-1_S4,H3K27me3,EV,pair1,1,chip
2020-10-27-CUTRUN-KT-MB231-05-EV-H3K27me3-2_S5,H3K27me3,EV,pair2,2,chip
2020-10-27-CUTRUN-KT-MB231-06-EV-H3K27me3-3_S6,H3K27me3,EV,pair3,3,chip
2020-10-27-CUTRUN-KT-MB231-11-KO1-H3K27me3-1_S11,H3K27me3,KO,pair4,1,chip
2020-10-27-CUTRUN-KT-MB231-20-KO1-H3K27me3-2_S19,H3K27me3,KO,pair5,2,chip
2020-10-27-CUTRUN-KT-MB231-21-KO1-H3K27me3-3_S20,H3K27me3,KO,pair6,3,chip
2020-10-27-CUTRUN-KT-MB231-23-KO4-H3K27me3-1_S22,H3K27me3,KO,pair7,1,chip
2020-10-27-CUTRUN-KT-MB231-25-KO4-H3K27me3-2_S23,H3K27me3,KO,pair8,2,chip
2020-10-27-CUTRUN-KT-MB231-27-KO4-H3K27me3-3_S24,H3K27me3,KO,pair9,3,chip
2020-10-27-CUTRUN-KT-MB231-03-ng-H3K27me3-1_S3,H3K27me3,ng,pair10,1,chip
2020-10-27-CUTRUN-KT-MB231-08-ng-H3K27me3-2_S8,H3K27me3,ng,pair11,2,chip
2020-10-27-CUTRUN-KT-MB231-09-ng-H3K27me3-3_S9,H3K27me3,ng,pair12,3,chip
2020-10-27-CUTRUN-KT-MB231-12-OE1-H3K27me3-1_S12,H3K27me3,OE,pair13,1,chip
2020-10-27-CUTRUN-KT-MB231-13-OE1-H3K27me3-2_S13,H3K27me3,OE,pair14,2,chip
2020-10-27-CUTRUN-KT-MB231-14-OE1-H3K27me3-3_S14,H3K27me3,OE,pair15,3,chip
2020-10-27-CUTRUN-KT-MB231-16-OE4-H3K27me3-1_S16,H3K27me3,OE,pair16,1,chip
2020-10-27-CUTRUN-KT-MB231-18-OE4-H3K27me3-2_S17,H3K27me3,OE,pair17,2,chip
2020-10-27-CUTRUN-KT-MB231-19-OE4-H3K27me3-3_S18,H3K27me3,OE,pair18,3,chip
